claim,sub_item,value,supports_abstract_claim
claim4,variant_B_dim4,"4.1486 (pub=1.71, diff=+2.4386)",
claim4,variant_B_dim5,"5.6653 (pub=2.90, diff=+2.7653)",
claim4,variant_B_dim6,"6.0147 (pub=4.09, diff=+1.9247)",
claim4,variant_B_dim7,"5.1898 (pub=3.26, diff=+1.9298)",
claim4,variant_B_dim8,"2.7920 (pub=1.89, diff=+0.9020)",
claim4,variant_B_dim9,"5.6055 (pub=3.21, diff=+2.3955)",
claim4,variant_B_dim10,"5.1341 (pub=2.88, diff=+2.2541)",
claim4,variant_B_dim11,"8.6570 (pub=7.14, diff=+1.5170)",
claim4,variant_B_reproduces_published_within_0.05,max|diff|=2.7653 at dim5,False
claim4,variant_C_dim1,"1.6192 (pub=1.62, diff=-0.0008)",
claim4,variant_C_dim2,"4.4435 (pub=4.44, diff=+0.0035)",
claim4,variant_C_dim3,"2.6043 (pub=2.60, diff=+0.0043)",
claim4,variant_C_dim4,"1.7065 (pub=1.71, diff=-0.0035)",
claim4,variant_C_dim5,"2.8966 (pub=2.90, diff=-0.0034)",
claim4,variant_C_dim6,"4.0880 (pub=4.09, diff=-0.0020)",
claim4,variant_C_dim7,"3.2595 (pub=3.26, diff=-0.0005)",
claim4,variant_C_dim8,"1.8881 (pub=1.89, diff=-0.0019)",
claim4,variant_C_dim9,"3.2056 (pub=3.21, diff=-0.0044)",
claim4,variant_C_dim10,"2.8825 (pub=2.88, diff=+0.0025)",
claim4,variant_C_dim11,"7.1400 (pub=7.14, diff=+0.0000)",
claim4,variant_C_reproduces_published_within_0.05,max|diff|=0.0044 at dim9,True
