model,register,number,dim_id,dim_label,v_human,v_model,delta_v,se,b_d,score
claude_sonnet46,academic,003,dim3,NP length,3.027778,3.775120,-0.747342,0.156208,-4.784271,75.317150
claude_sonnet46,academic,003,dim4,Past tense,0.628319,0.447154,0.181164,0.044566,4.065113,71.166838
claude_sonnet46,academic,003,dim5,3rd person,13.389121,9.353741,4.035380,1.478331,2.729687,69.860757
claude_sonnet46,academic,003,dim6,Word length,5.731214,5.693858,0.037356,0.070790,0.527703,99.348203
claude_sonnet46,academic,003,dim7,Complementizers,0.696970,0.720930,-0.023961,0.030356,-0.789319,96.562184
claude_sonnet46,academic,003,dim8,BÍN coverage,0.955684,0.980806,-0.025122,0.010664,-2.355736,97.371307
claude_sonnet46,academic,003,dim9,Tree depth,8.000000,9.307692,-1.307692,0.213457,-6.126257,83.653846
claude_sonnet46,academic,003,dim10,LIX readability,52.854544,55.835007,-2.980463,1.445323,-2.062143,94.361009
claude_sonnet46,academic,003,dim11,Lexical diversity (MTLD),140.944837,113.569317,27.375520,10.482520,2.611540,80.577139
claude_sonnet46,academic,004,dim1,Subject drop,0.022727,0.000000,0.022727,0.012185,1.865226,0.000000
claude_sonnet46,academic,004,dim2,Subordination,0.412587,0.442478,-0.029890,0.020988,-1.424140,92.755362
claude_sonnet46,academic,004,dim3,NP length,3.059574,3.733108,-0.673534,0.156208,-4.311771,77.986035
claude_sonnet46,academic,004,dim4,Past tense,0.410256,0.469880,-0.059623,0.044566,-1.337874,85.466867
claude_sonnet46,academic,004,dim5,3rd person,23.966942,7.869249,16.097693,1.478331,10.889101,32.833765
claude_sonnet46,academic,004,dim6,Word length,5.389749,5.746064,-0.356316,0.070790,-5.033447,93.389009
claude_sonnet46,academic,004,dim7,Complementizers,0.657143,0.724138,-0.066995,0.030356,-2.206982,89.805097
claude_sonnet46,academic,004,dim8,BÍN coverage,0.916828,0.984257,-0.067429,0.010664,-6.322942,92.645403
claude_sonnet46,academic,004,dim9,Tree depth,8.019608,9.661765,-1.642157,0.213457,-7.693151,79.523227
claude_sonnet46,academic,004,dim10,LIX readability,48.297099,56.149957,-7.852858,1.445323,-5.433289,83.740518
claude_sonnet46,academic,004,dim11,Lexical diversity (MTLD),188.282865,99.350794,88.932071,10.482520,8.483845,52.766774
claude_sonnet46,academic,005,dim1,Subject drop,0.075472,0.113924,-0.038452,0.012185,-3.155783,49.050633
claude_sonnet46,academic,005,dim2,Subordination,0.447761,0.489362,-0.041601,0.020988,-1.982068,90.709220
claude_sonnet46,academic,005,dim3,NP length,3.719048,2.891738,0.827310,0.156208,5.296202,77.754796
claude_sonnet46,academic,005,dim4,Past tense,0.057692,0.014851,0.042841,0.044566,0.961299,25.742574
claude_sonnet46,academic,005,dim5,3rd person,10.109520,20.890599,-10.781079,1.478331,-7.292738,0.000000
claude_sonnet46,academic,005,dim6,Word length,5.747447,5.276467,0.470980,0.070790,6.653230,91.805412
claude_sonnet46,academic,005,dim7,Complementizers,0.687500,0.688525,-0.001025,0.030356,-0.033753,99.850969
claude_sonnet46,academic,005,dim8,BÍN coverage,0.991643,0.973382,0.018261,0.010664,1.712368,98.158511
claude_sonnet46,academic,005,dim9,Tree depth,8.464286,8.835443,-0.371157,0.213457,-1.738792,95.615019
claude_sonnet46,academic,005,dim10,LIX readability,52.565476,49.538691,3.026786,1.445323,2.094193,94.241876
claude_sonnet46,academic,005,dim11,Lexical diversity (MTLD),179.741136,121.494131,58.247004,10.482520,5.556584,67.593949
claude_sonnet46,academic,006,dim1,Subject drop,0.125000,0.037736,0.087264,0.012185,7.161765,30.188679
claude_sonnet46,academic,006,dim2,Subordination,0.515528,0.686192,-0.170665,0.020988,-8.131359,66.895196
claude_sonnet46,academic,006,dim3,NP length,3.022026,5.158996,-2.136969,0.156208,-13.680272,29.286873
claude_sonnet46,academic,006,dim4,Past tense,0.223140,0.210000,0.013140,0.044566,0.294858,94.111111
claude_sonnet46,academic,006,dim5,3rd person,19.936204,25.959368,-6.023164,1.478331,-4.074300,69.787810
claude_sonnet46,academic,006,dim6,Word length,5.048358,5.262048,-0.213691,0.070790,-3.018671,95.767128
claude_sonnet46,academic,006,dim7,Complementizers,0.476190,0.646465,-0.170274,0.030356,-5.609249,64.242424
claude_sonnet46,academic,006,dim8,BÍN coverage,0.958029,0.989157,-0.031128,0.010664,-2.918930,96.750829
claude_sonnet46,academic,006,dim9,Tree depth,8.500000,12.056604,-3.556604,0.213457,-16.661923,58.157603
claude_sonnet46,academic,006,dim10,LIX readability,43.133180,57.585815,-14.452635,1.445323,-9.999587,66.492998
claude_sonnet46,academic,006,dim11,Lexical diversity (MTLD),173.926719,121.292674,52.634045,10.482520,5.021125,69.737804
claude_sonnet46,academic,007,dim1,Subject drop,0.093023,0.015152,0.077872,0.012185,6.390931,16.287879
claude_sonnet46,academic,007,dim2,Subordination,0.455882,0.460094,-0.004212,0.020988,-0.200660,99.076177
claude_sonnet46,academic,007,dim3,NP length,3.665025,3.524306,0.140719,0.156208,0.900844,96.160488
claude_sonnet46,academic,007,dim4,Past tense,0.140351,0.017241,0.123109,0.044566,2.762435,12.284483
claude_sonnet46,academic,007,dim5,3rd person,23.430962,11.663597,11.767365,1.478331,7.959900,49.778567
claude_sonnet46,academic,007,dim6,Word length,5.750919,5.809302,-0.058383,0.070790,-0.824743,98.984802
claude_sonnet46,academic,007,dim7,Complementizers,0.560000,0.700000,-0.140000,0.030356,-4.611943,75.000000
claude_sonnet46,academic,007,dim8,BÍN coverage,0.984375,0.977409,0.006966,0.010664,0.653215,99.292343
claude_sonnet46,academic,007,dim9,Tree depth,9.369565,8.926471,0.443095,0.213457,2.075803,95.270916
claude_sonnet46,academic,007,dim10,LIX readability,54.930430,54.289929,0.640501,1.445323,0.443154,98.833978
claude_sonnet46,academic,007,dim11,Lexical diversity (MTLD),137.754361,179.712907,-41.958546,10.482520,-4.002716,69.541040
claude_sonnet46,academic,008,dim1,Subject drop,0.057692,0.011765,0.045928,0.012185,3.769276,20.392157
claude_sonnet46,academic,008,dim2,Subordination,0.454545,0.491582,-0.037037,0.020988,-1.764640,91.851852
claude_sonnet46,academic,008,dim3,NP length,2.834746,3.495935,-0.661189,0.156208,-4.232746,76.675538
claude_sonnet46,academic,008,dim4,Past tense,0.060606,0.070312,-0.009706,0.044566,-0.217801,83.984375
claude_sonnet46,academic,008,dim5,3rd person,21.367521,30.405405,-9.037884,1.478331,-6.113574,57.702703
claude_sonnet46,academic,008,dim6,Word length,5.699627,5.252815,0.446812,0.070790,6.311831,92.160678
claude_sonnet46,academic,008,dim7,Complementizers,0.627907,0.663265,-0.035358,0.030356,-1.164790,94.368859
claude_sonnet46,academic,008,dim8,BÍN coverage,0.991604,0.992323,-0.000719,0.010664,-0.067422,99.927491
claude_sonnet46,academic,008,dim9,Tree depth,8.301887,10.000000,-1.698113,0.213457,-7.955295,79.545455
claude_sonnet46,academic,008,dim10,LIX readability,49.901357,47.348522,2.552835,1.445323,1.766273,94.884237
claude_sonnet46,academic,008,dim11,Lexical diversity (MTLD),170.604091,132.998525,37.605567,10.482520,3.587455,77.957406
claude_sonnet46,academic,009,dim1,Subject drop,0.098039,0.026316,0.071723,0.012185,5.886339,26.842105
claude_sonnet46,academic,009,dim2,Subordination,0.364238,0.405634,-0.041395,0.020988,-1.972295,88.635083
claude_sonnet46,academic,009,dim3,NP length,3.806763,2.920601,0.886162,0.156208,5.672961,76.721368
claude_sonnet46,academic,009,dim4,Past tense,0.552000,0.235880,0.316120,0.044566,7.093359,42.731956
claude_sonnet46,academic,009,dim5,3rd person,37.593985,45.180723,-7.586738,1.478331,-5.131962,79.819277
claude_sonnet46,academic,009,dim6,Word length,5.647004,4.963908,0.683096,0.070790,9.649666,87.903388
claude_sonnet46,academic,009,dim7,Complementizers,0.400000,0.700000,-0.300000,0.030356,-9.882736,25.000000
claude_sonnet46,academic,009,dim8,BÍN coverage,0.970037,0.992300,-0.022263,0.010664,-2.087643,97.704933
claude_sonnet46,academic,009,dim9,Tree depth,8.754717,6.993671,1.761046,0.213457,8.250122,79.884603
claude_sonnet46,academic,009,dim10,LIX readability,48.444399,34.807337,13.637062,1.445323,9.435303,71.850074
claude_sonnet46,academic,009,dim11,Lexical diversity (MTLD),215.621657,98.858374,116.763283,10.482520,11.138857,45.848073
claude_sonnet46,academic,010,dim1,Subject drop,0.066667,0.103896,-0.037229,0.012185,-3.055418,44.155844
claude_sonnet46,academic,010,dim2,Subordination,0.398601,0.590717,-0.192116,0.020988,-9.153416,51.802502
claude_sonnet46,academic,010,dim3,NP length,3.726027,4.387324,-0.661297,0.156208,-4.233433,82.251968
claude_sonnet46,academic,010,dim4,Past tense,0.690265,0.405941,0.284325,0.044566,6.379922,58.809342
claude_sonnet46,academic,010,dim5,3rd person,17.670683,25.939651,-8.268968,1.478331,-5.593449,53.205159
claude_sonnet46,academic,010,dim6,Word length,5.703140,5.677658,0.025482,0.070790,0.359970,99.553192
claude_sonnet46,academic,010,dim7,Complementizers,0.678571,0.580247,0.098325,0.030356,3.239051,85.510071
claude_sonnet46,academic,010,dim8,BÍN coverage,0.969553,0.996020,-0.026467,0.010664,-2.481859,97.270185
claude_sonnet46,academic,010,dim9,Tree depth,7.885246,10.311688,-2.426442,0.213457,-11.367360,69.228069
claude_sonnet46,academic,010,dim10,LIX readability,48.461798,54.907828,-6.446031,1.445323,-4.459924,86.698738
claude_sonnet46,academic,010,dim11,Lexical diversity (MTLD),125.090323,133.646685,-8.556362,10.482520,-0.816251,93.159853
claude_sonnet46,academic,011,dim1,Subject drop,0.020000,0.061538,-0.041538,0.012185,-3.409060,0.000000
claude_sonnet46,academic,011,dim2,Subordination,0.419580,0.619718,-0.200138,0.020988,-9.535626,52.300469
claude_sonnet46,academic,011,dim3,NP length,3.201717,4.271777,-1.070060,0.156208,-6.850223,66.578547
claude_sonnet46,academic,011,dim4,Past tense,0.410256,0.244444,0.165812,0.044566,3.720629,59.583333
claude_sonnet46,academic,011,dim5,3rd person,17.647059,16.863406,0.783652,1.478331,0.530093,95.559303
claude_sonnet46,academic,011,dim6,Word length,5.707648,5.903622,-0.195974,0.070790,-2.768404,96.566462
claude_sonnet46,academic,011,dim7,Complementizers,0.666667,0.657895,0.008772,0.030356,0.288969,98.684211
claude_sonnet46,academic,011,dim8,BÍN coverage,0.975799,0.983425,-0.007626,0.010664,-0.715104,99.218487
claude_sonnet46,academic,011,dim9,Tree depth,8.380000,10.615385,-2.235385,0.213457,-10.472295,73.324766
claude_sonnet46,academic,011,dim10,LIX readability,52.404409,58.885971,-6.481561,1.445323,-4.484507,87.631649
claude_sonnet46,academic,011,dim11,Lexical diversity (MTLD),132.919528,170.536263,-37.616735,10.482520,-3.588520,71.699617
claude_sonnet46,academic,012,dim1,Subject drop,0.097561,0.122449,-0.024888,0.012185,-2.042558,74.489796
claude_sonnet46,academic,012,dim2,Subordination,0.500000,0.465409,0.034591,0.020988,1.648107,93.081761
claude_sonnet46,academic,012,dim3,NP length,4.484211,4.313131,0.171079,0.156208,1.095201,96.184853
claude_sonnet46,academic,012,dim4,Past tense,0.468085,0.496063,-0.027978,0.044566,-0.627791,94.022906
claude_sonnet46,academic,012,dim5,3rd person,7.930214,16.800000,-8.869786,1.478331,-5.999865,0.000000
claude_sonnet46,academic,012,dim6,Word length,5.727885,5.714822,0.013063,0.070790,0.184531,99.771943
claude_sonnet46,academic,012,dim7,Complementizers,0.761905,0.800000,-0.038095,0.030356,-1.254951,95.000000
claude_sonnet46,academic,012,dim8,BÍN coverage,0.822115,0.939962,-0.117847,0.010664,-11.050731,85.665387
claude_sonnet46,academic,012,dim9,Tree depth,7.576271,8.571429,-0.995157,0.213457,-4.662098,86.864813
claude_sonnet46,academic,012,dim10,LIX readability,50.673077,51.434134,-0.761057,1.445323,-0.526565,98.498104
claude_sonnet46,academic,012,dim11,Lexical diversity (MTLD),165.656924,106.307179,59.349745,10.482520,5.661782,64.173097
claude_sonnet46,academic,013,dim1,Subject drop,0.042553,0.038462,0.004092,0.012185,0.335802,90.384615
claude_sonnet46,academic,013,dim2,Subordination,0.319018,0.440000,-0.120982,0.020988,-5.764202,62.076923
claude_sonnet46,academic,013,dim3,NP length,2.988327,4.474638,-1.486311,0.156208,-9.514941,50.262776
claude_sonnet46,academic,013,dim4,Past tense,0.537736,0.425373,0.112363,0.044566,2.521289,79.104478
claude_sonnet46,academic,013,dim5,3rd person,10.172144,2.802691,7.369453,1.478331,4.984983,27.552604
claude_sonnet46,academic,013,dim6,Word length,5.750000,6.058131,-0.308131,0.070790,-4.352778,94.641192
claude_sonnet46,academic,013,dim7,Complementizers,0.666667,0.772727,-0.106061,0.030356,-3.493897,84.090909
claude_sonnet46,academic,013,dim8,BÍN coverage,0.909091,0.912803,-0.003712,0.010664,-0.348081,99.591680
claude_sonnet46,academic,013,dim9,Tree depth,8.000000,9.788462,-1.788462,0.213457,-8.378557,77.644231
claude_sonnet46,academic,013,dim10,LIX readability,51.781172,59.813092,-8.031920,1.445323,-5.557179,84.488726
claude_sonnet46,academic,013,dim11,Lexical diversity (MTLD),190.780671,126.959150,63.821521,10.482520,6.088376,66.547177
claude_sonnet46,academic,014,dim1,Subject drop,0.042857,0.047619,-0.004762,0.012185,-0.390809,88.888889
claude_sonnet46,academic,014,dim2,Subordination,0.205674,0.156069,0.049604,0.020988,2.363415,75.882001
claude_sonnet46,academic,014,dim3,NP length,3.174274,3.117470,0.056804,0.156208,0.363643,98.210489
claude_sonnet46,academic,014,dim4,Past tense,0.500000,0.578125,-0.078125,0.044566,-1.753035,84.375000
claude_sonnet46,academic,014,dim5,3rd person,11.456628,3.848621,7.608008,1.478331,5.146350,33.592963
claude_sonnet46,academic,014,dim6,Word length,6.156190,6.544323,-0.388133,0.070790,-5.482909,93.695240
claude_sonnet46,academic,014,dim7,Complementizers,0.850000,0.812500,0.037500,0.030356,1.235342,95.588235
claude_sonnet46,academic,014,dim8,BÍN coverage,0.929524,0.951011,-0.021487,0.010664,-2.014876,97.688387
claude_sonnet46,academic,014,dim9,Tree depth,6.269663,6.098214,0.171449,0.213457,0.803200,97.265425
claude_sonnet46,academic,014,dim10,LIX readability,52.363095,55.889749,-3.526654,1.445323,-2.440045,93.265000
claude_sonnet46,academic,014,dim11,Lexical diversity (MTLD),278.760408,129.135470,149.624939,10.482520,14.273757,46.324896
claude_sonnet46,academic,015,dim1,Subject drop,0.057692,0.068182,-0.010490,0.012185,-0.860874,81.818182
claude_sonnet46,academic,015,dim2,Subordination,0.449664,0.543919,-0.094254,0.020988,-4.490782,79.038927
claude_sonnet46,academic,015,dim3,NP length,2.969828,3.465608,-0.495781,0.156208,-3.173849,83.306072
claude_sonnet46,academic,015,dim4,Past tense,0.285714,0.261603,0.024111,0.044566,0.541021,91.561181
claude_sonnet46,academic,015,dim5,3rd person,26.178010,18.999073,7.178937,1.478331,4.856110,72.576460
claude_sonnet46,academic,015,dim6,Word length,5.233397,5.616775,-0.383379,0.070790,-5.415751,92.674377
claude_sonnet46,academic,015,dim7,Complementizers,0.604651,0.586207,0.018444,0.030356,0.607599,96.949602
claude_sonnet46,academic,015,dim8,BÍN coverage,0.991461,0.964842,0.026619,0.010664,2.496113,97.315174
claude_sonnet46,academic,015,dim9,Tree depth,9.113208,10.090909,-0.977702,0.213457,-4.580321,89.271598
claude_sonnet46,academic,015,dim10,LIX readability,44.376204,55.431517,-11.055313,1.445323,-7.649025,75.087294
claude_sonnet46,academic,015,dim11,Lexical diversity (MTLD),127.188019,110.146668,17.041351,10.482520,1.625692,86.601449
claude_sonnet46,blog,001,dim1,Subject drop,0.051724,0.013889,0.037835,0.012010,3.150340,26.851852
claude_sonnet46,blog,001,dim2,Subordination,0.534884,0.497110,0.037774,0.027200,1.388763,92.937924
claude_sonnet46,blog,001,dim3,NP length,3.396226,3.765690,-0.369464,0.158667,-2.328556,89.121339
claude_sonnet46,blog,001,dim4,Past tense,0.136364,0.124183,0.012181,0.040521,0.300601,91.067538
claude_sonnet46,blog,001,dim5,3rd person,29.268293,23.616236,5.652057,2.697098,2.095607,80.688807
claude_sonnet46,blog,001,dim6,Word length,5.274474,5.458976,-0.184503,0.055770,-3.308248,96.501973
claude_sonnet46,blog,001,dim7,Complementizers,0.448980,0.754386,-0.305406,0.031747,-9.620011,31.977671
claude_sonnet46,blog,001,dim8,BÍN coverage,0.998170,0.990252,0.007918,0.010244,0.772976,99.206748
claude_sonnet46,blog,001,dim9,Tree depth,9.166667,8.129870,1.036797,0.251564,4.121401,88.689492
claude_sonnet46,blog,001,dim10,LIX readability,44.618968,45.676446,-1.057478,1.028855,-1.027820,97.629981
claude_sonnet46,blog,001,dim11,Lexical diversity (MTLD),160.125544,132.702852,27.422692,7.800888,3.515330,82.874255
claude_sonnet46,blog,002,dim1,Subject drop,0.000000,0.010989,-0.010989,0.012010,-0.914996,0.000000
claude_sonnet46,blog,002,dim2,Subordination,0.415205,0.464407,-0.049202,0.027200,-1.808923,88.149916
claude_sonnet46,blog,002,dim3,NP length,3.136752,2.458763,0.677989,0.158667,4.273044,78.385629
claude_sonnet46,blog,002,dim4,Past tense,0.146552,0.716157,-0.569605,0.040521,-14.057058,0.000000
claude_sonnet46,blog,002,dim5,3rd person,26.294821,50.487665,-24.192844,2.697098,-8.969954,7.993880
claude_sonnet46,blog,002,dim6,Word length,5.383410,4.360303,1.023107,0.055770,18.344958,80.995193
claude_sonnet46,blog,002,dim7,Complementizers,0.470588,0.684211,-0.213622,0.031747,-6.728900,54.605263
claude_sonnet46,blog,002,dim8,BÍN coverage,0.993548,0.988622,0.004926,0.010244,0.480889,99.504201
claude_sonnet46,blog,002,dim9,Tree depth,8.015625,8.574468,-0.558843,0.251564,-2.221474,93.028078
claude_sonnet46,blog,002,dim10,LIX readability,45.540234,31.607119,13.933115,1.028855,13.542350,69.404822
claude_sonnet46,blog,002,dim11,Lexical diversity (MTLD),181.300912,109.233333,72.067579,7.800888,9.238381,60.249743
claude_sonnet46,blog,003,dim1,Subject drop,0.031746,0.010753,0.020993,0.012010,1.748004,33.870968
claude_sonnet46,blog,003,dim2,Subordination,0.406897,0.626168,-0.219272,0.027200,-8.061557,46.111199
claude_sonnet46,blog,003,dim3,NP length,3.729469,4.161725,-0.432256,0.158667,-2.724307,88.409704
claude_sonnet46,blog,003,dim4,Past tense,0.211864,0.068182,0.143683,0.040521,3.545883,32.181818
claude_sonnet46,blog,003,dim5,3rd person,16.000000,41.497519,-25.497519,2.697098,-9.453687,0.000000
claude_sonnet46,blog,003,dim6,Word length,5.309091,4.997582,0.311509,0.055770,5.585550,94.132542
claude_sonnet46,blog,003,dim7,Complementizers,0.526316,0.739130,-0.212815,0.031747,-6.703459,59.565217
claude_sonnet46,blog,003,dim8,BÍN coverage,0.989091,0.993714,-0.004623,0.010244,-0.451309,99.532601
claude_sonnet46,blog,003,dim9,Tree depth,8.307692,9.460000,-1.152308,0.251564,-4.580573,86.129630
claude_sonnet46,blog,003,dim10,LIX readability,44.599729,42.079973,2.519755,1.028855,2.449087,94.350290
claude_sonnet46,blog,003,dim11,Lexical diversity (MTLD),157.471822,108.469310,49.002513,7.800888,6.281658,68.881726
claude_sonnet46,blog,004,dim1,Subject drop,0.054795,0.025000,0.029795,0.012010,2.480831,45.625000
claude_sonnet46,blog,004,dim2,Subordination,0.428571,0.419718,0.008853,0.027200,0.325486,97.934272
claude_sonnet46,blog,004,dim3,NP length,2.774319,3.151515,-0.377196,0.158667,-2.377287,86.404012
claude_sonnet46,blog,004,dim4,Past tense,0.237410,0.233813,0.003597,0.040521,0.088772,98.484848
claude_sonnet46,blog,004,dim5,3rd person,36.555646,31.900139,4.655507,2.697098,1.726117,87.264602
claude_sonnet46,blog,004,dim6,Word length,5.214087,4.933263,0.280824,0.055770,5.035351,94.614132
claude_sonnet46,blog,004,dim7,Complementizers,0.581395,0.802469,-0.221074,0.031747,-6.963615,61.975309
claude_sonnet46,blog,004,dim8,BÍN coverage,0.978684,0.978981,-0.000297,0.010244,-0.028994,99.969653
claude_sonnet46,blog,004,dim9,Tree depth,7.384615,7.666667,-0.282051,0.251564,-1.121190,96.180556
claude_sonnet46,blog,004,dim10,LIX readability,38.829428,36.956720,1.872708,1.028855,1.820186,95.177092
claude_sonnet46,blog,004,dim11,Lexical diversity (MTLD),152.315500,82.450864,69.864636,7.800888,8.955985,54.131631
claude_sonnet46,blog,005,dim1,Subject drop,0.042254,0.019417,0.022836,0.012010,1.901436,45.954693
claude_sonnet46,blog,005,dim2,Subordination,0.435897,0.530075,-0.094178,0.027200,-3.462460,78.394516
claude_sonnet46,blog,005,dim3,NP length,2.764706,3.841615,-1.076909,0.158667,-6.787245,61.047971
claude_sonnet46,blog,005,dim4,Past tense,0.092308,0.099099,-0.006791,0.040521,-0.167602,92.642643
claude_sonnet46,blog,005,dim5,3rd person,28.386050,37.427517,-9.041467,2.697098,-3.352295,68.148204
claude_sonnet46,blog,005,dim6,Word length,5.576177,5.001168,0.575009,0.055770,10.310280,89.688114
claude_sonnet46,blog,005,dim7,Complementizers,0.472222,0.705882,-0.233660,0.031747,-7.360072,50.519031
claude_sonnet46,blog,005,dim8,BÍN coverage,1.000000,0.993575,0.006425,0.010244,0.627225,99.357500
claude_sonnet46,blog,005,dim9,Tree depth,6.948718,7.672727,-0.724009,0.251564,-2.878031,89.580678
claude_sonnet46,blog,005,dim10,LIX readability,42.148381,37.961095,4.187286,1.028855,4.069850,90.065370
claude_sonnet46,blog,005,dim11,Lexical diversity (MTLD),203.663225,83.566214,120.097011,7.800888,15.395300,41.031568
claude_sonnet46,blog,006,dim1,Subject drop,0.058824,0.065041,-0.006217,0.012010,-0.517667,89.430894
claude_sonnet46,blog,006,dim2,Subordination,0.306358,0.500000,-0.193642,0.027200,-7.119264,36.792453
claude_sonnet46,blog,006,dim3,NP length,2.147436,2.591029,-0.443593,0.158667,-2.795756,79.343126
claude_sonnet46,blog,006,dim4,Past tense,0.208333,0.185654,0.022679,0.040521,0.559694,89.113924
claude_sonnet46,blog,006,dim5,3rd person,34.482759,55.620609,-21.137850,2.697098,-7.837258,38.700234
claude_sonnet46,blog,006,dim6,Word length,5.344576,4.977361,0.367215,0.055770,6.584403,93.129199
claude_sonnet46,blog,006,dim7,Complementizers,0.516129,0.791045,-0.274916,0.031747,-8.659585,46.735075
claude_sonnet46,blog,006,dim8,BÍN coverage,0.979034,0.994825,-0.015791,0.010244,-1.541558,98.387084
claude_sonnet46,blog,006,dim9,Tree depth,5.963636,7.108527,-1.144891,0.251564,-4.551089,80.802137
claude_sonnet46,blog,006,dim10,LIX readability,35.865746,34.975926,0.889820,1.028855,0.864864,97.519025
claude_sonnet46,blog,006,dim11,Lexical diversity (MTLD),163.650462,86.478901,77.171561,7.800888,9.892663,52.843664
claude_sonnet46,blog,007,dim1,Subject drop,0.111111,0.020690,0.090421,0.012010,7.528913,18.620690
claude_sonnet46,blog,007,dim2,Subordination,0.232044,0.468153,-0.236109,0.027200,-8.680572,0.000000
claude_sonnet46,blog,007,dim3,NP length,2.107143,2.926396,-0.819253,0.158667,-5.163362,61.120193
claude_sonnet46,blog,007,dim4,Past tense,0.170068,0.154412,0.015656,0.040521,0.386374,90.794118
claude_sonnet46,blog,007,dim5,3rd person,26.004728,32.710280,-6.705552,2.697098,-2.486210,74.214104
claude_sonnet46,blog,007,dim6,Word length,5.354454,4.892145,0.462308,0.055770,8.289483,91.365912
claude_sonnet46,blog,007,dim7,Complementizers,0.583333,0.675000,-0.091667,0.031747,-2.887413,84.285714
claude_sonnet46,blog,007,dim8,BÍN coverage,0.995409,0.991794,0.003615,0.010244,0.352906,99.636833
claude_sonnet46,blog,007,dim9,Tree depth,5.915094,6.506667,-0.591572,0.251564,-2.351577,89.998937
claude_sonnet46,blog,007,dim10,LIX readability,38.005449,31.403523,6.601926,1.028855,6.416770,82.629002
claude_sonnet46,blog,007,dim11,Lexical diversity (MTLD),212.033391,84.209446,127.823945,7.800888,16.385819,39.715181
claude_sonnet46,blog,008,dim1,Subject drop,0.054545,0.044248,0.010298,0.012010,0.857432,81.120944
claude_sonnet46,blog,008,dim2,Subordination,0.503268,0.553191,-0.049924,0.027200,-1.835446,90.080133
claude_sonnet46,blog,008,dim3,NP length,2.884170,3.228883,-0.344713,0.158667,-2.172562,88.048105
claude_sonnet46,blog,008,dim4,Past tense,0.328000,0.085366,0.242634,0.040521,5.987868,26.026175
claude_sonnet46,blog,008,dim5,3rd person,42.657916,38.860104,3.797813,2.697098,1.408111,91.097051
claude_sonnet46,blog,008,dim6,Word length,5.207985,5.250435,-0.042450,0.055770,-0.761149,99.184912
claude_sonnet46,blog,008,dim7,Complementizers,0.463415,0.681319,-0.217904,0.031747,-6.863771,52.978600
claude_sonnet46,blog,008,dim8,BÍN coverage,0.987001,0.978551,0.008450,0.010244,0.824911,99.143871
claude_sonnet46,blog,008,dim9,Tree depth,8.557377,7.570175,0.987202,0.251564,3.924255,88.463736
